c1_percent_grammar_1,c2_percent_grammar_1,type,final_state
90,10,"Cohort 1
mean",0.9058742999555502
90,10,"Cohort 2
mean",0.7021350128868088
90,10,"Overall
mean",0.8040046564211796
10,10,"Cohort 1
mean",0.00670089107976652
10,10,"Cohort 2
mean",0.00554053194430922
10,10,"Overall
mean",0.00612071151203787
20,10,"Cohort 1
mean",0.00640998123411641
20,10,"Cohort 2
mean",0.00635105944147728
20,10,"Overall
mean",0.00638052033779684
40,10,"Cohort 1
mean",0.00815317153891973
40,10,"Cohort 2
mean",0.00706379750560381
40,10,"Overall
mean",0.00760848452226177
50,10,"Cohort 1
mean",0.00661668279116243
50,10,"Cohort 2
mean",0.00789437875933438
50,10,"Overall
mean",0.0072555307752484
60,10,"Cohort 1
mean",0.00770727793647001
60,10,"Cohort 2
mean",0.00620384153089764
60,10,"Overall
mean",0.00695555973368382
80,10,"Cohort 1
mean",0.7127000495480735
80,10,"Cohort 2
mean",0.6915549603826197
80,10,"Overall
mean",0.7021275049653467
90,10,"Cohort 1
mean",0.6045412378236733
90,10,"Cohort 2
mean",0.33282884541378693
90,10,"Overall
mean",0.4686850416187299
10,10,"Cohort 1
mean",0.00709050982793417
10,10,"Cohort 2
mean",0.0065155209661582
10,10,"Overall
mean",0.00680301539704619
20,10,"Cohort 1
mean",0.00999552999051058
20,10,"Cohort 2
mean",0.0081612846240213
20,10,"Overall
mean",0.00907840730726594
40,10,"Cohort 1
mean",0.0043004315240414
40,10,"Cohort 2
mean",0.00730366465612341
40,10,"Overall
mean",0.00580204809008241
50,10,"Cohort 1
mean",0.00483914225565141
50,10,"Cohort 2
mean",0.00725422464267585
50,10,"Overall
mean",0.00604668344916363
60,10,"Cohort 1
mean",0.1410506109171035
60,10,"Cohort 2
mean",0.11779911582106543
60,10,"Overall
mean",0.12942486336908443
80,10,"Cohort 1
mean",0.3549018030636868
80,10,"Cohort 2
mean",0.3892457023805523
80,10,"Overall
mean",0.3720737527221195
90,10,"Cohort 1
mean",0.2544221658564098
90,10,"Cohort 2
mean",0.2062823042091909
90,10,"Overall
mean",0.23035223503280036
10,10,"Cohort 1
mean",0.00811357894843803
10,10,"Cohort 2
mean",0.0071936962377892
10,10,"Overall
mean",0.00765363759311362
20,10,"Cohort 1
mean",0.00483671374377648
20,10,"Cohort 2
mean",0.00658801805852532
20,10,"Overall
mean",0.0057123659011509
40,10,"Cohort 1
mean",0.12252056476763576
40,10,"Cohort 2
mean",0.046194199402762
40,10,"Overall
mean",0.08435738208519891
50,10,"Cohort 1
mean",0.0089265488139666
50,10,"Cohort 2
mean",0.00619997399085048
50,10,"Overall
mean",0.00756326140240854
60,10,"Cohort 1
mean",0.08256048751816775
60,10,"Cohort 2
mean",0.04497975077323007
60,10,"Overall
mean",0.06377011914569893
80,10,"Cohort 1
mean",0.5451488916574864
80,10,"Cohort 2
mean",0.3014363011662981
80,10,"Overall
mean",0.4232925964118923
90,10,"Cohort 1
mean",0.3510725844401405
90,10,"Cohort 2
mean",0.3005895499387981
90,10,"Overall
mean",0.3258310671894694
10,10,"Cohort 1
mean",0.01170159178131183
10,10,"Cohort 2
mean",0.008412118650361
10,10,"Overall
mean",0.01005685521583641
20,10,"Cohort 1
mean",0.00557740290533878
20,10,"Cohort 2
mean",0.00808213227547582
20,10,"Overall
mean",0.0068297675904073
40,10,"Cohort 1
mean",0.00751944630901474
40,10,"Cohort 2
mean",0.00686958434204046
40,10,"Overall
mean",0.0071945153255276
50,10,"Cohort 1
mean",0.00384464814322579
50,10,"Cohort 2
mean",0.00783409085951114
50,10,"Overall
mean",0.00583936950136846
60,10,"Cohort 1
mean",0.00443182314983029
60,10,"Cohort 2
mean",0.0064428985929538
60,10,"Overall
mean",0.00543736087139204
80,10,"Cohort 1
mean",0.5716285216667248
80,10,"Cohort 2
mean",0.414865192531102
80,10,"Overall
mean",0.4932468570989134
90,10,"Cohort 1
mean",0.5246002988327694
90,10,"Cohort 2
mean",0.19050500390251657
90,10,"Overall
mean",0.3575526513676431
10,10,"Cohort 1
mean",0.00848487554267491
10,10,"Cohort 2
mean",0.00814791615760525
10,10,"Overall
mean",0.00831639585014008
20,10,"Cohort 1
mean",0.00693673923232636
20,10,"Cohort 2
mean",0.00659111768048715
20,10,"Overall
mean",0.00676392845640676
40,10,"Cohort 1
mean",0.1950702112627236
40,10,"Cohort 2
mean",0.103957142454647
40,10,"Overall
mean",0.14951367685868527
50,10,"Cohort 1
mean",0.01048018390756589
50,10,"Cohort 2
mean",0.00729790722010008
50,10,"Overall
mean",0.00888904556383298
60,10,"Cohort 1
mean",0.00532415087403543
60,10,"Cohort 2
mean",0.0060662590068667
60,10,"Overall
mean",0.00569520494045106
80,10,"Cohort 1
mean",0.2618424897204751
80,10,"Cohort 2
mean",0.2961533896238179
80,10,"Overall
mean",0.2789979396721466
90,10,"Cohort 1
mean",0.5381452319641462
90,10,"Cohort 2
mean",0.2615820759890284
90,10,"Overall
mean",0.39986365397658735
10,10,"Cohort 1
mean",0.00312172579465923
10,10,"Cohort 2
mean",0.00539958938811497
10,10,"Overall
mean",0.0042606575913871
20,10,"Cohort 1
mean",0.00770769134375298
20,10,"Cohort 2
mean",0.00636348655591041
20,10,"Overall
mean",0.00703558894983169
40,10,"Cohort 1
mean",0.00980573533537588
40,10,"Cohort 2
mean",0.00803234213261168
40,10,"Overall
mean",0.00891903873399378
50,10,"Cohort 1
mean",0.1078239106719188
50,10,"Cohort 2
mean",0.23466322095111397
50,10,"Overall
mean",0.17124356581151634
60,10,"Cohort 1
mean",0.15883006880347833
60,10,"Cohort 2
mean",0.13194704741387026
60,10,"Overall
mean",0.1453885581086743
80,10,"Cohort 1
mean",0.3233007131057178
80,10,"Cohort 2
mean",0.21107341005497116
80,10,"Overall
mean",0.2671870615803445
90,10,"Cohort 1
mean",0.3002792421926586
90,10,"Cohort 2
mean",0.20760026102541415
90,10,"Overall
mean",0.25393975160903637
10,10,"Cohort 1
mean",0.00661341408963814
10,10,"Cohort 2
mean",0.00727806326776117
10,10,"Overall
mean",0.00694573867869965
20,10,"Cohort 1
mean",0.00915451953330096
20,10,"Cohort 2
mean",0.00728498107590384
20,10,"Overall
mean",0.0082197503046024
40,10,"Cohort 1
mean",0.01135361665730468
40,10,"Cohort 2
mean",0.00856219115604772
40,10,"Overall
mean",0.0099579039066762
50,10,"Cohort 1
mean",0.19512126422123804
50,10,"Cohort 2
mean",0.05450697309723716
50,10,"Overall
mean",0.1248141186592376
60,10,"Cohort 1
mean",0.4505069378709856
60,10,"Cohort 2
mean",0.49300510202304854
60,10,"Overall
mean",0.471756019947017
80,10,"Cohort 1
mean",0.488489386373603
80,10,"Cohort 2
mean",0.4574909904830555
80,10,"Overall
mean",0.47299018842832946
90,10,"Cohort 1
mean",0.6476405979555914
90,10,"Cohort 2
mean",0.3698941849241494
90,10,"Overall
mean",0.5087673914398705
10,10,"Cohort 1
mean",0.01294193692564654
10,10,"Cohort 2
mean",0.00784787376428271
10,10,"Overall
mean",0.01039490534496462
20,10,"Cohort 1
mean",0.00672849498302891
20,10,"Cohort 2
mean",0.00737307978258415
20,10,"Overall
mean",0.00705078738280653
40,10,"Cohort 1
mean",0.11637944546249082
40,10,"Cohort 2
mean",0.0072793065833392
40,10,"Overall
mean",0.06182937602291498
50,10,"Cohort 1
mean",0.00494416901177783
50,10,"Cohort 2
mean",0.00721331996989485
50,10,"Overall
mean",0.00607874449083634
60,10,"Cohort 1
mean",0.1454340042922995
60,10,"Cohort 2
mean",0.0643431398908467
60,10,"Overall
mean",0.10488857209157314
80,10,"Cohort 1
mean",0.39427845617094304
80,10,"Cohort 2
mean",0.20574778372575953
80,10,"Overall
mean",0.30001311994835134
90,10,"Cohort 1
mean",0.23007210540096304
90,10,"Cohort 2
mean",0.09488799237704452
90,10,"Overall
mean",0.16248004888900375
10,10,"Cohort 1
mean",0.00890992241394524
10,10,"Cohort 2
mean",0.00654876349839219
10,10,"Overall
mean",0.00772934295616871
20,10,"Cohort 1
mean",0.00913512929398014
20,10,"Cohort 2
mean",0.00724409813255942
20,10,"Overall
mean",0.00818961371326978
40,10,"Cohort 1
mean",0.00305451486964628
40,10,"Cohort 2
mean",0.00540195705750793
40,10,"Overall
mean",0.0042282359635771
50,10,"Cohort 1
mean",0.00713308549023513
50,10,"Cohort 2
mean",0.00715955496297625
50,10,"Overall
mean",0.00714632022660569
60,10,"Cohort 1
mean",0.10123537304044485
60,10,"Cohort 2
mean",0.13545867884829454
60,10,"Overall
mean",0.1183470259443697
80,10,"Cohort 1
mean",0.16136873330190257
80,10,"Cohort 2
mean",0.19333225886626904
80,10,"Overall
mean",0.17735049608408576
90,10,"Cohort 1
mean",0.5409810728295326
90,10,"Cohort 2
mean",0.4598303837441609
90,10,"Overall
mean",0.5004057282868467
10,10,"Cohort 1
mean",0.00532968272974433
10,10,"Cohort 2
mean",0.00593096198543489
10,10,"Overall
mean",0.00563032235758961
20,10,"Cohort 1
mean",0.01015054942456025
20,10,"Cohort 2
mean",0.00970442593680385
20,10,"Overall
mean",0.00992748768068205
40,10,"Cohort 1
mean",0.00454241817404893
40,10,"Cohort 2
mean",0.00490699095002525
40,10,"Overall
mean",0.00472470456203709
50,10,"Cohort 1
mean",0.00647506822642064
50,10,"Cohort 2
mean",0.00775116460141096
50,10,"Overall
mean",0.0071131164139158
60,10,"Cohort 1
mean",0.4099045675464139
60,10,"Cohort 2
mean",0.3793376445266748
60,10,"Overall
mean",0.3946211060365443
80,10,"Cohort 1
mean",0.3326427378232012
80,10,"Cohort 2
mean",0.0864489396866755
80,10,"Overall
mean",0.2095458387549384
90,10,"Cohort 1
mean",0.7346044416861728
90,10,"Cohort 2
mean",0.4260840292366832
90,10,"Overall
mean",0.580344235461428
10,10,"Cohort 1
mean",0.00918543474484575
10,10,"Cohort 2
mean",0.00907816376626056
10,10,"Overall
mean",0.00913179925555316
20,10,"Cohort 1
mean",0.00969534708423649
20,10,"Cohort 2
mean",0.00745286217070761
20,10,"Overall
mean",0.00857410462747205
40,10,"Cohort 1
mean",0.00859041378368196
40,10,"Cohort 2
mean",0.00514186435529846
40,10,"Overall
mean",0.00686613906949021
50,10,"Cohort 1
mean",0.00781687870422699
50,10,"Cohort 2
mean",0.00748885652807049
50,10,"Overall
mean",0.00765286761614874
60,10,"Cohort 1
mean",0.007621849010036
60,10,"Cohort 2
mean",0.00789157858901999
60,10,"Overall
mean",0.007756713799528
80,10,"Cohort 1
mean",0.2984292312350016
80,10,"Cohort 2
mean",0.25455091986288303
80,10,"Overall
mean",0.27649007554894234
90,10,"Cohort 1
mean",0.3016743644731493
90,10,"Cohort 2
mean",0.24942944828970356
90,10,"Overall
mean",0.2755519063814265
10,10,"Cohort 1
mean",0.00438685483898228
10,10,"Cohort 2
mean",0.0055452356418923
10,10,"Overall
mean",0.00496604524043729
20,10,"Cohort 1
mean",0.00933905230328431
20,10,"Cohort 2
mean",0.00832950694572641
20,10,"Overall
mean",0.00883427962450536
40,10,"Cohort 1
mean",0.01015395686068488
40,10,"Cohort 2
mean",0.00784898802676266
40,10,"Overall
mean",0.00900147244372377
50,10,"Cohort 1
mean",0.18881326486736064
50,10,"Cohort 2
mean",0.06076124153718606
50,10,"Overall
mean",0.12478725320227337
60,10,"Cohort 1
mean",0.21761901899800656
60,10,"Cohort 2
mean",0.15177611983987954
60,10,"Overall
mean",0.18469756941894305
80,10,"Cohort 1
mean",0.18607983048897325
80,10,"Cohort 2
mean",0.06107922853801662
80,10,"Overall
mean",0.1235795295134949
90,10,"Cohort 1
mean",0.16936118907026557
90,10,"Cohort 2
mean",0.01789727772347269
90,10,"Overall
mean",0.09362923339686911
10,10,"Cohort 1
mean",0.00858845594506988
10,10,"Cohort 2
mean",0.007696719782849
10,10,"Overall
mean",0.00814258786395944
20,10,"Cohort 1
mean",0.00633257800169133
20,10,"Cohort 2
mean",0.00808162860870888
20,10,"Overall
mean",0.00720710330520011
40,10,"Cohort 1
mean",0.00573730559739377
40,10,"Cohort 2
mean",0.00976330499542473
40,10,"Overall
mean",0.00775030529640925
50,10,"Cohort 1
mean",0.00351924618932957
50,10,"Cohort 2
mean",0.0058556385952097
50,10,"Overall
mean",0.00468744239226963
60,10,"Cohort 1
mean",0.00835337940008285
60,10,"Cohort 2
mean",0.00513899999491396
60,10,"Overall
mean",0.0067461896974984
80,10,"Cohort 1
mean",0.2453385325098429
80,10,"Cohort 2
mean",0.05861004515065497
80,10,"Overall
mean",0.1519742888302489
90,10,"Cohort 1
mean",0.21639955530835636
90,10,"Cohort 2
mean",0.09774818046817266
90,10,"Overall
mean",0.15707386788826455
10,10,"Cohort 1
mean",0.00569421311736169
10,10,"Cohort 2
mean",0.00668083604603074
10,10,"Overall
mean",0.00618752458169622
20,10,"Cohort 1
mean",0.00437123314407293
20,10,"Cohort 2
mean",0.00561695109861233
20,10,"Overall
mean",0.00499409212134263
40,10,"Cohort 1
mean",0.00511305912653845
40,10,"Cohort 2
mean",0.00599872587642329
40,10,"Overall
mean",0.00555589250148087
50,10,"Cohort 1
mean",0.00597997659669288
50,10,"Cohort 2
mean",0.00548832661502621
50,10,"Overall
mean",0.00573415160585955
60,10,"Cohort 1
mean",0.0112660622632709
60,10,"Cohort 2
mean",0.00670291267981461
60,10,"Overall
mean",0.00898448747154275
80,10,"Cohort 1
mean",0.01080235676651795
80,10,"Cohort 2
mean",0.0080400044768361
80,10,"Overall
mean",0.00942118062167703
90,10,"Cohort 1
mean",0.7088788819099079
90,10,"Cohort 2
mean",0.47216954730936334
90,10,"Overall
mean",0.5905242146096358
10,10,"Cohort 1
mean",0.00939510972947454
10,10,"Cohort 2
mean",0.00812248884568469
10,10,"Overall
mean",0.00875879928757962
20,10,"Cohort 1
mean",0.00739034095238807
20,10,"Cohort 2
mean",0.00633167234762955
20,10,"Overall
mean",0.00686100665000881
40,10,"Cohort 1
mean",0.00768593896525645
40,10,"Cohort 2
mean",0.0105389229175306
40,10,"Overall
mean",0.00911243094139353
50,10,"Cohort 1
mean",0.0084255410233333
50,10,"Cohort 2
mean",0.00619706697864531
50,10,"Overall
mean",0.0073113040009893
60,10,"Cohort 1
mean",0.0098596531846691
60,10,"Cohort 2
mean",0.00719897673112372
60,10,"Overall
mean",0.00852931495789641
80,10,"Cohort 1
mean",0.4833728288717564
80,10,"Cohort 2
mean",0.1813957730201937
80,10,"Overall
mean",0.332384300945975
90,10,"Cohort 1
mean",0.3486188282225187
90,10,"Cohort 2
mean",0.15153512732742905
90,10,"Overall
mean",0.25007697777497384
10,10,"Cohort 1
mean",0.00883444581183451
10,10,"Cohort 2
mean",0.00807101351000135
10,10,"Overall
mean",0.00845272966091793
20,10,"Cohort 1
mean",0.00427276211282431
20,10,"Cohort 2
mean",0.00766812789459645
20,10,"Overall
mean",0.00597044500371038
40,10,"Cohort 1
mean",0.00537954879371045
40,10,"Cohort 2
mean",0.0070733595073268
40,10,"Overall
mean",0.00622645415051862
50,10,"Cohort 1
mean",0.0078963514311464
50,10,"Cohort 2
mean",0.00935916206255584
50,10,"Overall
mean",0.00862775674685112
60,10,"Cohort 1
mean",0.00816512099192958
60,10,"Cohort 2
mean",0.0094348798079651
60,10,"Overall
mean",0.00880000039994734
80,10,"Cohort 1
mean",0.14131548476959557
80,10,"Cohort 2
mean",0.03318175425648131
80,10,"Overall
mean",0.08724861951303844
90,10,"Cohort 1
mean",0.5837248827697072
90,10,"Cohort 2
mean",0.21919454703052468
90,10,"Overall
mean",0.401459714900116
10,10,"Cohort 1
mean",0.0045563838629191
10,10,"Cohort 2
mean",0.00645955962268707
10,10,"Overall
mean",0.00550797174280308
20,10,"Cohort 1
mean",0.00646261346268884
20,10,"Cohort 2
mean",0.00657935261097885
20,10,"Overall
mean",0.00652098303683385
40,10,"Cohort 1
mean",0.10148872940091597
40,10,"Cohort 2
mean",0.14809036505449877
40,10,"Overall
mean",0.12478954722770734
50,10,"Cohort 1
mean",0.00502452854457197
50,10,"Cohort 2
mean",0.00810212929067548
50,10,"Overall
mean",0.00656332891762372
60,10,"Cohort 1
mean",0.00256198034192157
60,10,"Cohort 2
mean",0.00373767521795507
60,10,"Overall
mean",0.00314982777993832
80,10,"Cohort 1
mean",0.4932829101344339
80,10,"Cohort 2
mean",0.3584958241933033
80,10,"Overall
mean",0.42588936716386855
90,10,"Cohort 1
mean",0.2332015828757408
90,10,"Cohort 2
mean",0.2049828538887988
90,10,"Overall
mean",0.21909221838226972
10,10,"Cohort 1
mean",0.00577790532420815
10,10,"Cohort 2
mean",0.00816303667651738
10,10,"Overall
mean",0.00697047100036277
20,10,"Cohort 1
mean",0.00385537739772241
20,10,"Cohort 2
mean",0.00735902301016563
20,10,"Overall
mean",0.00560720020394402
40,10,"Cohort 1
mean",0.01034556601304683
40,10,"Cohort 2
mean",0.00734404352375081
40,10,"Overall
mean",0.00884480476839882
50,10,"Cohort 1
mean",0.00624008422766572
50,10,"Cohort 2
mean",0.00523160960923584
50,10,"Overall
mean",0.00573584691845078
60,10,"Cohort 1
mean",0.00506763075833897
60,10,"Cohort 2
mean",0.00723704431915308
60,10,"Overall
mean",0.00615233753874602
80,10,"Cohort 1
mean",0.3322507597417481
80,10,"Cohort 2
mean",0.06008200846000261
80,10,"Overall
mean",0.19616638410087536
90,10,"Cohort 1
mean",0.4622066969330982
90,10,"Cohort 2
mean",0.23172809414732187
90,10,"Overall
mean",0.34696739554021006
10,10,"Cohort 1
mean",0.00426479849647203
10,10,"Cohort 2
mean",0.00617680685121852
10,10,"Overall
mean",0.00522080267384527
20,10,"Cohort 1
mean",0.00467588497199088
20,10,"Cohort 2
mean",0.00641433135094111
20,10,"Overall
mean",0.005545108161466
40,10,"Cohort 1
mean",0.00868602128742054
40,10,"Cohort 2
mean",0.00756212729383598
40,10,"Overall
mean",0.00812407429062826
50,10,"Cohort 1
mean",0.1473322641106579
50,10,"Cohort 2
mean",0.04163693413038975
50,10,"Overall
mean",0.09448459912052382
60,10,"Cohort 1
mean",0.00815215400066259
60,10,"Cohort 2
mean",0.00944028259522134
60,10,"Overall
mean",0.00879621829794196
80,10,"Cohort 1
mean",0.13402981047701973
80,10,"Cohort 2
mean",0.05818242798581376
80,10,"Overall
mean",0.09610611923141672
90,10,"Cohort 1
mean",0.006846531505468
90,10,"Cohort 2
mean",0.00675943569579457
90,10,"Overall
mean",0.00680298360063129
10,10,"Cohort 1
mean",0.00545923684557593
10,10,"Cohort 2
mean",0.00634595870056985
10,10,"Overall
mean",0.00590259777307289
20,10,"Cohort 1
mean",0.00541948347960419
20,10,"Cohort 2
mean",0.00667689360172159
20,10,"Overall
mean",0.00604818854066289
40,10,"Cohort 1
mean",0.00814923157595458
40,10,"Cohort 2
mean",0.00749438819437977
40,10,"Overall
mean",0.00782180988516718
50,10,"Cohort 1
mean",0.30483250279012447
50,10,"Cohort 2
mean",0.1078244423120334
50,10,"Overall
mean",0.2063284725510789
60,10,"Cohort 1
mean",0.212904599013342
60,10,"Cohort 2
mean",0.24614024528625655
60,10,"Overall
mean",0.22952242214979937
80,10,"Cohort 1
mean",0.6748662930577725
80,10,"Cohort 2
mean",0.3403740683823861
80,10,"Overall
mean",0.5076201807200793
90,10,"Cohort 1
mean",0.7601088576962871
90,10,"Cohort 2
mean",0.5988196459585845
90,10,"Overall
mean",0.6794642518274358
10,10,"Cohort 1
mean",0.00852209851272411
10,10,"Cohort 2
mean",0.00848413454989962
10,10,"Overall
mean",0.00850311653131186
20,10,"Cohort 1
mean",0.00445523978006129
20,10,"Cohort 2
mean",0.00403296152588941
20,10,"Overall
mean",0.00424410065297535
40,10,"Cohort 1
mean",0.01345089726944243
40,10,"Cohort 2
mean",0.01049230778442211
40,10,"Overall
mean",0.01197160252693227
50,10,"Cohort 1
mean",0.00934473056359655
50,10,"Cohort 2
mean",0.008624181494928
50,10,"Overall
mean",0.00898445602926228
60,10,"Cohort 1
mean",0.0061569769374252
60,10,"Cohort 2
mean",0.00831021895529521
60,10,"Overall
mean",0.0072335979463602
80,10,"Cohort 1
mean",0.00538765112627001
80,10,"Cohort 2
mean",0.0042169060422775
80,10,"Overall
mean",0.00480227858427376
90,10,"Cohort 1
mean",0.5557482129076161
90,10,"Cohort 2
mean",0.15109065111202408
90,10,"Overall
mean",0.3534194320098202
